year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	645138	0	8396074	10217792	0	27785182
2006	589512	0	8301549	10497841	0	27389354
2007	585744	0	8256050	10776821	0	27028004
2008	624744	2425450	8240075	10955589	244022	26693420
2009	628123	2461166	8158662	11259389	334189	26276195
2010	605049	2485664	7848646	11811888	1156880	25761454
2011	544481	2539662	7775379	12141935	1265251	25456146
2012	529803	2532733	7721850	12420828	1382591	25213187
2013	519638	2572315	7716894	12753149	1498039	24973386
2014	516236	2628225	7752123	13120073	1602426	24776665
