year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	8232	0	662828	665756	0	1369463
2006	8228	0	639852	676740	0	1291010
2007	8244	0	639609	692170	0	1266645
2008	8002	66948	633774	697065	0	1236550
2009	9754	70628	638329	738507	0	1221025
2010	11235	70997	642246	794311	83022	1195541
2011	10704	74620	653896	827674	84783	1197174
2012	10305	76961	663594	863874	88348	1193306
2013	9967	79516	673616	902898	92406	1192509
2014	9885	82147	680476	944687	97127	1193864
