year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	3961	0	432431	394133	0	1170408
2006	4436	0	424315	408504	0	1159458
2007	5258	0	413244	419692	0	1138367
2008	3801	86646	415417	439789	0	1123425
2009	4765	88018	396989	441771	0	1103817
2010	6818	87781	383504	476711	60170	1068372
2011	6224	89622	375371	490001	58938	1054811
2012	5987	92089	366038	498174	61880	1043005
2013	6057	94793	362967	508675	65001	1026112
2014	6038	96244	358119	513224	63825	1009785
