year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	17109	0	379801	76811	0	1254528
2006	16632	0	380239	80169	0	1249078
2007	16101	0	371184	80931	0	1212998
2008	15524	45856	362948	80930	0	1184093
2009	15038	45689	363239	81291	0	1165932
2010	13562	44578	333170	93653	31075	1112323
2011	12668	45857	327414	98440	35723	1092019
2012	12206	48220	320167	102191	40131	1075282
2013	11816	49733	317577	107538	45044	1064129
2014	11098	51144	314610	112752	49756	1048113
