year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	2503	0	256024	256836	0	789844
2006	2396	0	252619	264146	0	774455
2007	2229	0	249717	271427	0	760479
2008	2217	117323	248764	279447	3675	747718
2009	2748	121007	249197	291579	6061	737314
2010	1816	122464	236358	298384	9230	703009
2011	1766	124974	234621	310936	11574	693675
2012	1748	127029	225596	314175	13784	666028
2013	1988	129169	226781	326204	15583	654496
2014	1748	134573	237771	357116	19269	655779
