year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	14147	0	574551	571596	0	1500565
2006	13988	0	564161	577698	0	1451200
2007	13652	0	559588	586333	0	1427009
2008	13529	210819	548826	592592	0	1400266
2009	13378	209457	549191	603300	0	1371564
2010	14714	227573	553079	624072	17323	1350257
2011	14979	232726	537293	647692	23165	1307361
2012	15350	235857	533827	663338	34283	1275160
2013	15933	239240	535631	684957	41308	1248297
2014	17616	245287	550185	723929	48950	1243541
