year	American Indian/Alaska Native	Asian	Black	Hispanic	Other	White	All
2005	260	2198	53588	11056	0	44158	111260
2006	538	2784	55702	11342	0	49586	119952
2007	336	2752	59118	12784	0	56740	134550
2008	374	3164	61438	15430	0	62174	146102
2009	396	3652	65322	17368	0	67760	158334
2010	380	4020	77108	21492	4720	73408	181226
2011	486	4926	90954	26330	5550	81614	209934
2012	512	6344	101970	32078	6628	88951	236665
2013	490	6460	113222	36454	8010	92540	257402
2014	520	7310	114898	40070	9604	92898	265532
